id,protocol,source_ip,source_port,dest_ip,dest_port,action,time
0,tcp,91.106.207.43,80,45.224.149.15,6025,established,2025-03-09 22:15:44
1,tcp,45.224.149.15,59026,43.130.237.62,80,established,2025-03-09 14:35:52
2,tcp,178.237.58.228,5027,45.224.149.15,999,established,2025-03-09 16:27:01
3,tcp,170.39.194.40,45446,45.224.149.15,999,established,2025-03-10 05:01:13
4,tcp,45.224.149.15,53293,195.239.64.191,80,established,2025-03-10 16:08:41
5,tcp,192.168.20.80,37578,163.70.152.40,443,established,2025-03-09 04:26:33
6,tcp,45.224.149.15,999,134.195.158.54,362,established,2025-03-09 15:57:53
7,tcp,45.224.149.15,999,139.59.234.8,43494,established,2025-03-09 22:06:30
8,tcp,45.224.149.15,53821,188.93.211.17,22,established,2025-03-10 05:01:44
9,tcp,45.224.149.15,999,134.195.158.54,380,established,2025-03-09 11:00:04
10,tcp,45.224.149.15,999,156.253.227.215,3,established,2025-03-10 09:20:59
11,tcp,45.224.149.15,999,128.199.96.38,328,established,2025-03-09 17:32:35
12,tcp,139.59.236.58,4118,45.224.149.15,999,established,2025-03-09 20:12:39
13,tcp,192.168.20.113,468,173.194.212.188,5,established,2025-03-09 08:40:45
14,tcp,81.94.158.218,4025,45.224.149.15,999,established,2025-03-10 12:15:54
15,tcp,45.224.149.15,999,134.195.158.54,50,established,2025-03-09 05:00:35
16,tcp,45.224.149.15,4003,188.93.211.17,80,established,2025-03-10 09:45:36
17,tcp,192.168.20.22,4753,156.146.43.169,44,established,2025-03-09 05:42:37
18,tcp,152.42.160.160,432,45.224.149.15,999,established,2025-03-09 10:38:47
19,tcp,50.30.32.54,36626,45.224.149.15,999,established,2025-03-10 03:44:47
20,tcp,209.74.88.199,443,45.224.149.15,345,established,2025-03-09 09:59:05
21,tcp,45.224.149.15,5070,162.0.232.191,443,established,2025-03-10 13:49:20
22,tcp,45.224.149.15,5874,91.106.207.43,80,established,2025-03-09 05:39:56
23,tcp,95.129.234.27,443,45.224.149.15,419,established,2025-03-10 03:28:23
24,tcp,45.224.149.15,999,134.195.158.54,51,established,2025-03-10 17:10:09
25,tcp,178.237.58.240,541,45.224.149.15,999,established,2025-03-10 11:49:20
26,tcp,203.161.47.225,501,45.224.149.15,999,established,2025-03-09 12:52:15
27,tcp,45.224.149.15,999,170.39.194.120,45,established,2025-03-09 13:35:11
28,tcp,192.168.20.159,351,173.194.217.188,5,established,2025-03-10 07:51:09
29,tcp,199.189.85.9,57472,45.224.149.15,999,established,2025-03-09 04:21:33
30,tcp,62.138.14.196,3836,45.224.149.15,999,established,2025-03-09 08:55:38
31,tcp,45.130.230.174,443,45.224.149.15,512,established,2025-03-09 19:14:45
32,tcp,146.190.111.136,4296,45.224.149.15,999,established,2025-03-09 06:34:47
33,tcp,47.104.185.217,80,45.224.149.15,4841,established,2025-03-09 20:45:44
34,tcp,45.224.149.15,999,156.253.227.215,5806,established,2025-03-09 03:13:46
35,tcp,31.129.97.241,80,45.224.149.15,4919,established,2025-03-10 16:21:34
36,tcp,45.224.149.15,999,134.195.158.54,438,established,2025-03-09 22:38:41
37,tcp,95.163.239.138,80,45.224.149.15,3867,established,2025-03-09 08:09:22
38,tcp,192.168.20.11,5664,173.231.16.77,443,established,2025-03-09 07:10:19
39,tcp,45.224.149.15,999,185.91.127.10,3526,established,2025-03-10 19:26:40
40,tcp,157.245.196.167,37,45.224.149.15,999,established,2025-03-10 07:08:00
41,tcp,45.224.149.15,5997,31.129.97.241,80,established,2025-03-09 04:17:15
42,tcp,45.224.149.15,4930,199.188.205.22,44,established,2025-03-09 06:42:28
43,tcp,192.168.20.159,5180,172.217.203.188,5,established,2025-03-09 12:09:01
44,tcp,45.224.149.15,999,176.65.128.69,598,established,2025-03-10 18:03:29
45,tcp,170.39.193.187,4682,45.224.149.15,999,established,2025-03-10 15:57:42
46,tcp,45.224.149.15,5528,91.106.207.43,80,established,2025-03-10 03:01:07
